PS C:\Windows> tasklist /V

Image Name                     PID Session Name        Session#    Mem Usage Status          User Name                                              CPU Time Window Title                                                            
svchost.exe                   2808 Services                   0      6,824 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A
sqlwriter.exe                 2840 Services                   0      8,044 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A
svchost.exe                   2856 Services                   0      5,520 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A
svchost.exe                   2884 Services                   0      5,664 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A
sshd.exe                      2896 Services                   0      7,300 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A
VGAuthService.exe             2924 Services                   0     11,748 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A
svchost.exe                   2932 Services                   0     10,616 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
vm3dservice.exe               2952 Services                   0      6,204 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A
vmtoolsd.exe                  2996 Services                   0     21,360 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:01 N/A
wlms.exe                      3056 Services                   0      3,552 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A
svchost.exe                   2140 Services                   0     15,544 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A
MsMpEng.exe                   3152 Services                   0    160,992 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:36 N/A
vm3dservice.exe               3196 Console                    1      6,596 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A
svchost.exe                   3424 Services                   0     12,716 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A
dllhost.exe                   3768 Services                   0     13,836 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A
msdtc.exe                     3192 Services                   0     10,312 K Unknown         NT AUTHORITY\NETWORK SERVICE                            0:00:00 N/A
WmiPrvSE.exe                  4140 Services                   0     21,952 K Unknown         NT AUTHORITY\NETWORK SERVICE                            0:00:22 N/A
LogonUI.exe                   4172 Console                    1     73,600 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
vm3dservice.exe               4220 Console                    1      6,544 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A
svchost.exe                   4624 Services                   0     10,852 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A
svchost.exe                   4784 Services                   0      8,440 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A
svchost.exe                   4616 Services                   0     17,596 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A
svchost.exe                   1124 Services                   0      7,496 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A
svchost.exe                   5700 Services                   0     17,020 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A
MicrosoftEdgeUpdate.exe       5816 Services                   0        404 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A
GoogleUpdate.exe              5964 Services                   0        424 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A
SgrmBroker.exe                1108 Services                   0      6,828 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A
svchost.exe                   2976 Services                   0     22,408 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A
svchost.exe                   5236 Services                   0     10,156 K Unknown         NT AUTHORITY\NETWORK SERVICE                            0:00:00 N/A                                                                     
svchost.exe                    384 Services                   0     10,248 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A
